Books DB			
Title	Pages	Year Published 	Book Cover Url 
The Stand	823	1978	https://upload.wikimedia.org/wikipedia/en/9/96/The_Stand_cover.jpg
The Shining	447	1977	https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Shiningnovel.jpg/220px-Shiningnovel.jpg
Infinite Jest	1079	1996	https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Infinite_jest_cover.jpg/220px-Infinite_jest_cover.jpg
Life of Pi	354	2001	https://upload.wikimedia.org/wikipedia/en/4/45/Life_of_Pi_cover.png
Animal Farm	112	1945	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Animal_Farm_-_1st_edition.jpg/220px-Animal_Farm_-_1st_edition.jpg
"1984"	328	1949	https://prodimage.images-bn.com/pimages/9780451524935_p0_v3_s550x406.jpg
The Alchemist 	163	1988	https://pictures.abebooks.com/SABRA2015/18269767749.jpg
The Handmaid's Tale	311	1985	https://prodimage.images-bn.com/pimages/9780808598299_p0_v3_s550x406.jpg
Atlas Shrugged	1168	1957	https://cdn.theatlantic.com/assets/media/img/mt/2013/10/atlas-shrugged-sg-amazon/lead_large.jpg
The Catcher in the Rye	277	1951	https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Rye_catcher.jpg/220px-Rye_catcher.jpg
Lord of the Flies	248	1954	https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/LordOfTheFliesBookCover.jpg/220px-LordOfTheFliesBookCover.jpg
The Return of the King	416	1955	https://i.pinimg.com/originals/b8/41/9a/b8419ab382635f1b05003f9cbcf88401.jpg
			
Author DB			
Name			
Stephen King		(The Stand, The Shining)	
David Foster Wallace		(Infinite Jest)	
J. R. R. Tolkien			
			
			
			
Paulo Coelho			
			
Reviews			
			
			
joins table			
			
Author Books 			
Author 	Book		
Stephen King	The Stand		
Stephen King	The Shining		
Paulo Coelho	The Alchemist 		
Yann Martel	Life of Pi		
David Foster Wallace	Infinite Jest		
George Orwell	Animal Farm		
George Orwell	"1984"		
Margaret Atwood	The Handmaid's Tale		
Ayn Rand	Atlas Shrugged		
J.D. Salinger	The Catcher in the Rye 		
William Golding	Lord of the Flies		
J. R. R. Tolkien	The Return of the King		
